EmployeeID,AttritionProbability,RiskScore,ActualAttrition,RiskTier,RiskGuidance
1061,0.2777112326503375,27.8,0,LOW,Standard engagement
891,0.01816267365205756,1.8,0,LOW,Standard engagement
456,0.32798550166956253,32.8,0,MEDIUM,Monitor and engage regularly
922,0.005814950398339792,0.6,0,LOW,Standard engagement
69,0.6336842333967809,63.4,1,HIGH,Proactive retention actions needed
1164,0.43343090345382285,43.3,0,MEDIUM,Monitor and engage regularly
406,0.04324010656027626,4.3,0,LOW,Standard engagement
1330,0.022220824726013805,2.2,0,LOW,Standard engagement
1232,0.01829348681740744,1.8,0,LOW,Standard engagement
1311,0.46892842501541393,46.9,0,MEDIUM,Monitor and engage regularly
1212,0.22272834202696543,22.3,0,LOW,Standard engagement
771,0.21597965649949658,21.6,0,LOW,Standard engagement
196,0.33037150061128845,33.0,0,MEDIUM,Monitor and engage regularly
1274,0.37292362414098895,37.3,0,MEDIUM,Monitor and engage regularly
930,0.24283545747677904,24.3,0,LOW,Standard engagement
318,0.6616130561633327,66.2,0,HIGH,Proactive retention actions needed
403,0.03876444903802203,3.9,0,LOW,Standard engagement
261,0.06612086094808772,6.6,0,LOW,Standard engagement
602,0.5382081414096641,53.8,0,HIGH,Proactive retention actions needed
1458,0.0804539004841387,8.0,0,LOW,Standard engagement
645,0.5308880191384499,53.1,1,HIGH,Proactive retention actions needed
985,0.3477708167271116,34.8,1,MEDIUM,Monitor and engage regularly
854,0.29868868030119844,29.9,0,LOW,Standard engagement
1098,0.21367028986816516,21.4,0,LOW,Standard engagement
788,0.031956130160454115,3.2,0,LOW,Standard engagement
397,0.7252064800162191,72.5,0,CRITICAL,Immediate intervention required
1263,0.15287867902751018,15.3,0,LOW,Standard engagement
136,0.0724368283525636,7.2,1,LOW,Standard engagement
704,0.019069558827768552,1.9,0,LOW,Standard engagement
45,0.02581596468729853,2.6,1,LOW,Standard engagement
1150,0.026922999764528305,2.7,0,LOW,Standard engagement
901,0.14795346078003974,14.8,0,LOW,Standard engagement
603,0.1903084514948779,19.0,0,LOW,Standard engagement
821,0.059838810549708944,6.0,0,LOW,Standard engagement
671,0.2785889594935224,27.9,0,LOW,Standard engagement
514,0.8453470996604032,84.5,1,CRITICAL,Immediate intervention required
78,0.17477680466551357,17.5,0,LOW,Standard engagement
1393,0.07157778081260703,7.2,0,LOW,Standard engagement
874,0.07447534615297473,7.4,0,LOW,Standard engagement
709,0.8871973218981951,88.7,1,CRITICAL,Immediate intervention required
189,0.0138358951925984,1.4,0,LOW,Standard engagement
841,0.6474138347439552,64.7,0,HIGH,Proactive retention actions needed
235,0.027268774708151797,2.7,0,LOW,Standard engagement
1371,0.11471726998229706,11.5,0,LOW,Standard engagement
1141,0.4596650105786139,46.0,0,MEDIUM,Monitor and engage regularly
1342,0.11808941332514168,11.8,0,LOW,Standard engagement
1238,0.5061498244378465,50.6,0,HIGH,Proactive retention actions needed
1215,0.47159241159218745,47.2,0,MEDIUM,Monitor and engage regularly
240,0.04837802760883868,4.8,0,LOW,Standard engagement
374,0.14556291420983347,14.6,0,LOW,Standard engagement
1047,0.16848916779898518,16.8,0,LOW,Standard engagement
1361,0.05246803998461419,5.2,0,LOW,Standard engagement
1451,0.06390248488756138,6.4,0,LOW,Standard engagement
1100,0.3008445198912128,30.1,0,MEDIUM,Monitor and engage regularly
596,0.06765386760544652,6.8,0,LOW,Standard engagement
522,0.0861402795133204,8.6,0,LOW,Standard engagement
448,0.06097461884810324,6.1,0,LOW,Standard engagement
132,0.9129017516480272,91.3,1,CRITICAL,Immediate intervention required
572,0.5215783824600915,52.2,0,HIGH,Proactive retention actions needed
897,0.06992892362640406,7.0,0,LOW,Standard engagement
1026,0.08821885221711954,8.8,0,LOW,Standard engagement
1210,0.010855202250366163,1.1,0,LOW,Standard engagement
