Feature,Importance
MonthlyIncome,0.0816128447402962
Age,0.06692298194971813
DailyRate,0.05832101244327466
TotalWorkingYears,0.05733319835374239
OverTime_Encoded,0.050000835419715554
YearsAtCompany,0.04953587232367561
MonthlyRate,0.048824148046881406
HourlyRate,0.0466516626190223
DistanceFromHome,0.04508667013619855
YearsWithCurrManager,0.04049025166008179
NumCompaniesWorked,0.03989533042769345
StockOptionLevel,0.035198854360170374
PercentSalaryHike,0.033667480518581976
JobRole_Encoded,0.03244487758861343
YearsInCurrentRole,0.03032665018314711
EnvironmentSatisfaction,0.030313367018138793
JobLevel,0.027253335177510395
JobSatisfaction,0.026931196956513432
MaritalStatus_Encoded,0.024114600472186967
YearsSinceLastPromotion,0.022925917478099512
RelationshipSatisfaction,0.022780262720411667
WorkLifeBalance,0.021464741952275507
TrainingTimesLastYear,0.019149969604781453
Education,0.017974692522106053
JobInvolvement,0.01740576334395455
EducationField_Encoded,0.016940285563347337
BusinessTravel_Encoded,0.012292639746079512
Department_Encoded,0.012010206124475054
Gender_Encoded,0.008545467923509992
PerformanceRating,0.003584882625796774
